Interacting Partner,Gene Name,Protein Name,Subcellular Locality,AF_Score,RF_Score,DCA_Score,confident,Function,pdb
Q6ZWL3,CYP4V2,Cytochrome P450 4V2,"Endoplasmic reticulum, Membrane",0.6504,0.281,0.216,Not confident,"Lipid metabolism, Monooxygenase, Oxidoreductase, Sensory transduction, Vision",none
Q86WK6,AMIGO1,Amphoterin-induced protein 1,"Cell membrane, Cell projection, Membrane",0.6504,0.28,0.141,Not confident,"Cell adhesion, Developmental protein, Differentiation, Neurogenesis",none
P30531,SLC6A1,Sodium- and chloride-dependent GABA transporter 1,"Cell membrane, Cell projection, Membrane, Synapse",0.6484,0.3062,0.129,Not confident,"Neurotransmitter transport, Symport, Transport",none
Q96RT1,ERBIN,Erbin,"Cell junction, Cell membrane, Membrane, Nucleus",0.647,0.2754,0.194,Not confident,NA,none
P53350,PLK1,Serine/threonine-protein kinase PLK1,"Centromere, Chromosome, Cytoplasm, Cytoskeleton, Kinetochore, Nucleus",0.647,0.188,0.18,Not confident,"Cell cycle, Cell division, Kinase, Mitosis, Serine/threonine-protein kinase, Transferase",none
Q7Z5K2,WAPL,Wings apart-like protein homolog,"Chromosome, Cytoplasm, Nucleus",0.6465,0.1978,0.117,Not confident,"Cell cycle, Cell division, Host-virus interaction, Mitosis",none
Q9Y5K1,SPO11,Meiotic recombination protein SPO11,Nucleus,0.642,0.3772,0.205,Not confident,"DNA-binding, Isomerase, Meiosis, Topoisomerase",none
O43795,MYO1B,Unconventional myosin-Ib,NA,0.6416,0.1573,0.15,Not confident,"Actin-binding, Calmodulin-binding, Motor protein, Myosin",none
Q9Y2Z4,YARS2,"Tyrosine--tRNA ligase, mitochondrial",Mitochondrion,0.6406,0.1588,0.202,Not confident,"Aminoacyl-tRNA synthetase, Ligase, Protein biosynthesis",none
Q9BSC4,NOL10,Nucleolar protein 10,Nucleus,0.639,0.1514,0.201,Not confident,NA,none
O95749,GGPS1,Geranylgeranyl pyrophosphate synthase,Cytoplasm,0.638,0.2069,0.167,Not confident,"Isoprene biosynthesis, Lipid metabolism, Transferase",none
Q86WK7,AMIGO3,Amphoterin-induced protein 3,Membrane,0.6367,0.3586,0.13,Not confident,Cell adhesion,none
Q06203,PPAT,Amidophosphoribosyltransferase,NA,0.634,0.152,0.154,Not confident,"Allosteric enzyme, Glycosyltransferase, Purine biosynthesis, Transferase",none
Q96S52,PIGS,GPI transamidase component PIG-S,"Endoplasmic reticulum, Membrane",0.632,0.3125,0.204,Not confident,GPI-anchor biosynthesis,none
P56703,WNT3,Proto-oncogene Wnt-3,"Extracellular matrix, Secreted",0.6313,0.2856,0.125,Not confident,"Developmental protein, Wnt signaling pathway",none
Q15118,PDK1,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",Mitochondrion,0.6313,0.1985,0.186,Not confident,"Kinase, Transferase",none
Q9UHB4,NDOR1,NADPH-dependent diflavin oxidoreductase 1,Cytoplasm,0.6313,0.1545,0.229,Not confident,Oxidoreductase,none
P22059,OSBP,Oxysterol-binding protein 1,"Cytoplasm, Endoplasmic reticulum, Golgi apparatus, Membrane",0.6245,0.1774,0.176,Not confident,"Lipid transport, Transport",none
P17987,TCP1,T-complex protein 1 subunit alpha,"Cytoplasm, Cytoskeleton",0.622,0.1293,0.13,Not confident,Chaperone,none
O96013,PAK4,Serine/threonine-protein kinase PAK 4,Cytoplasm,0.62,0.1401,0.19,Not confident,"Apoptosis, Cell cycle, Kinase, Serine/threonine-protein kinase, Transferase",none
Q8TCT0,CERK,Ceramide kinase,"Cell membrane, Cytoplasm, Membrane",0.617,0.3208,0.163,Not confident,"Kinase, Lipid metabolism, Transferase",none
A2RRP1,NBAS,NBAS subunit of NRZ tethering complex,"Cytoplasm, Endoplasmic reticulum, Membrane",0.617,0.2878,0.145,Not confident,"Protein transport, Transport",none
P33991,MCM4,DNA replication licensing factor MCM4,"Chromosome, Nucleus",0.6133,0.189,0.167,Not confident,"Cell cycle, DNA replication, DNA-binding, Helicase, Hydrolase",none
Q9Y5Y0,FLVCR1,Heme transporter FLVCR1,"Cell membrane, Membrane, Mitochondrion",0.61,0.3281,0.192,Not confident,"Erythrocyte maturation, Receptor, Transport",none
Q8N6M6,AOPEP,Aminopeptidase O,"Cytoplasm, Nucleus",0.6064,0.1659,0.102,Not confident,"Aminopeptidase, Hydrolase, Metalloprotease, Protease",none
Q9NZ01,TECR,Very-long-chain enoyl-CoA reductase,"Endoplasmic reticulum, Membrane",0.6045,0.332,0.204,medium,"Fatty acid biosynthesis, Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism, Oxidoreductase, Sphingolipid metabolism",['P00533_S2__Q9NZ01_S0.pdb']
Q9UBB6,NCDN,Neurochondrin,"Cell projection, Cytoplasm, Endosome, Membrane, Synapse",0.6045,0.157,0.113,medium,NA,['P00533_S2__Q9UBB6_S0.pdb']
O15455,TLR3,Toll-like receptor 3,"Endoplasmic reticulum, Endosome, Membrane",0.6035,0.2357,0.259,Not confident,"Immunity, Inflammatory response, Innate immunity, Receptor, RNA-binding",none
P49356,FNTB,Protein farnesyltransferase subunit beta,NA,0.6025,0.2369,0.225,Not confident,"Lipid metabolism, Prenyltransferase, Transferase",none
Q9UGN5,PARP2,Poly [ADP-ribose] polymerase 2,"Chromosome, Nucleus",0.601,0.142,0.211,Not confident,"Allosteric enzyme, DNA damage, DNA repair, DNA-binding, Glycosyltransferase, Nucleotidyltransferase, Transferase",none
P29320,EPHA3,Ephrin type-A receptor 3,"Cell membrane, Membrane, Secreted",0.6,0.2805,0.31,Not confident,"Cell adhesion, Kinase, Receptor, Transferase, Tyrosine-protein kinase",none
Q9HCM2,PLXNA4,Plexin-A4,"Cell membrane, Membrane",0.599,0.3289,0.115,Not confident,Receptor,none
Q5TEA6,SEL1L2,Protein sel-1 homolog 2,Membrane,0.5977,0.3203,0.176,Not confident,NA,none
Q8N1B4,VPS52,Vacuolar protein sorting-associated protein 52 homolog,"Endosome, Golgi apparatus, Membrane",0.5977,0.2128,0.15,Not confident,"Protein transport, Transport",none
P19447,ERCC3,General transcription and DNA repair factor IIH helicase subunit XPB,Nucleus,0.597,0.1633,0.127,Not confident,"DNA damage, DNA repair, DNA-binding, Helicase, Host-virus interaction, Hydrolase, Transcription, Transcription regulation",none
P35790,CHKA,Choline kinase alpha,"Cytoplasm, Lipid droplet",0.596,0.2578,0.21,Not confident,"Kinase, Lipid biosynthesis, Lipid metabolism, Phospholipid biosynthesis, Phospholipid metabolism, Transferase, Tyrosine-protein kinase",none
Q12809,KCNH2,Potassium voltage-gated channel subfamily H member 2,"Cell membrane, Membrane",0.5957,0.2585,0.109,Not confident,"Ion channel, Ion transport, Potassium channel, Potassium transport, Transport, Voltage-gated channel",none
Q10713,PMPCA,Mitochondrial-processing peptidase subunit alpha,"Membrane, Mitochondrion, Mitochondrion inner membrane",0.5957,0.1902,0.182,Not confident,NA,none
O14744,PRMT5,Protein arginine N-methyltransferase 5,"Chromosome, Cytoplasm, Golgi apparatus, Nucleus",0.5957,0.1858,0.226,Not confident,"Biological rhythms, Chromatin regulator, Methyltransferase, Repressor, Transcription, Transcription regulation, Transferase",none
Q9Y221,NIP7,60S ribosome subunit biogenesis protein NIP7 homolog,Nucleus,0.5957,0.1298,0.188,Not confident,"Ribosome biogenesis, RNA-binding",none
P51795,CLCN5,H(+)/Cl(-) exchange transporter 5,"Cell membrane, Endosome, Golgi apparatus, Membrane",0.594,0.2401,0.168,Not confident,"Antiport, Ion transport, Transport",none
Q9Y5Q9,GTF3C3,General transcription factor 3C polypeptide 3,Nucleus,0.593,0.2014,0.184,Not confident,"DNA-binding, Transcription",none
Q9Y2A7,NCKAP1,Nck-associated protein 1,"Cell membrane, Cell projection, Membrane",0.592,0.168,0.105,Not confident,Host-virus interaction,none
Q92963,RIT1,GTP-binding protein Rit1,"Cell membrane, Membrane",0.5913,0.2072,0.169,Not confident,Hydrolase,none
P54753,EPHB3,Ephrin type-B receptor 3,"Cell membrane, Cell projection, Membrane",0.589,0.325,0.345,Not confident,"Angiogenesis, Developmental protein, Kinase, Neurogenesis, Receptor, Transferase, Tyrosine-protein kinase",none
Q92696,RABGGTA,Geranylgeranyl transferase type-2 subunit alpha,NA,0.589,0.2023,0.231,Not confident,"Prenyltransferase, Transferase",none
P14923,JUP,Junction plakoglobin,"Cell junction, Cytoplasm, Cytoskeleton, Membrane",0.5825,0.168,0.09,medium,Cell adhesion,"['P00533_S1__P14923_S0.pdb', 'P00533_S2__P14923_S0.pdb']"
Q8TAT6,NPLOC4,Nuclear protein localization protein 4 homolog,"Cytoplasm, Endoplasmic reticulum, Nucleus",0.5815,0.2313,0.163,Not confident,"Chaperone, Ubl conjugation pathway",none
P51610,HCFC1,Host cell factor 1,"Cytoplasm, Nucleus",0.581,0.2168,0.143,Not confident,"Cell cycle, Chromatin regulator, Host-virus interaction",none
Q15392,DHCR24,Delta(24)-sterol reductase,"Endoplasmic reticulum, Golgi apparatus, Membrane",0.5806,0.2008,0.133,Not confident,"Cholesterol biosynthesis, Cholesterol metabolism, Lipid biosynthesis, Lipid metabolism, Oxidoreductase, Steroid biosynthesis, Steroid metabolism, Sterol biosynthesis, Sterol metabolism",none
Q13895,BYSL,Bystin,"Cytoplasm, Nucleus",0.5786,0.1946,0.181,Not confident,Ribosome biogenesis,none
P53621,COPA,Coatomer subunit alpha,"Cytoplasm, Cytoplasmic vesicle, Golgi apparatus, Membrane, Secreted",0.576,0.16,0.131,Not confident,"ER-Golgi transport, Hormone, Protein transport, Transport",none
Q96DI7,SNRNP40,U5 small nuclear ribonucleoprotein 40 kDa protein,"Nucleus, Spliceosome",0.5747,0.4424,0.173,Not confident,"mRNA processing, mRNA splicing",none
Q8NI36,WDR36,WD repeat-containing protein 36,Nucleus,0.573,0.1869,0.188,Not confident,"Ribosome biogenesis, rRNA processing, Sensory transduction, Vision",none
P55884,EIF3B,Eukaryotic translation initiation factor 3 subunit B,Cytoplasm,0.5713,0.288,0.153,Not confident,"Initiation factor, Protein biosynthesis, RNA-binding",none
O43837,IDH3B,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial",Mitochondrion,0.57,0.3242,0.139,Not confident,Tricarboxylic acid cycle,none
Q8NBP0,TTC13,Tetratricopeptide repeat protein 13,NA,0.57,0.2139,0.09,Not confident,NA,none
P55735,SEC13,Protein SEC13 homolog,"Cytoplasmic vesicle, Endoplasmic reticulum, Lysosome, Membrane, Nuclear pore complex, Nucleus",0.568,0.2128,0.165,Not confident,"ER-Golgi transport, mRNA transport, Protein transport, Translocation, Transport",none
Q96A33,CCDC47,PAT complex subunit CCDC47,"Endoplasmic reticulum, Membrane",0.5674,0.2476,0.16,Not confident,Chaperone,none
Q9Y2U9,KLHDC2,Kelch domain-containing protein 2,Nucleus,0.567,0.3384,0.159,Not confident,Ubl conjugation pathway,none
P06756,ITGAV,Integrin alpha-V,"Cell junction, Cell membrane, Membrane",0.5664,0.376,0.132,Not confident,"Cell adhesion, Host cell receptor for virus entry, Host-virus interaction, Integrin, Receptor",none
Q9ULV8,CBLC,E3 ubiquitin-protein ligase CBL-C,NA,0.5654,0.2045,0.104,medium,"Transferase, Ubl conjugation pathway",['P00533_S2__Q9ULV8_S0.pdb']
Q9BW27,NUP85,Nuclear pore complex protein Nup85,"Centromere, Chromosome, Cytoplasm, Cytoskeleton, Kinetochore, Membrane, Nuclear pore complex, Nucleus",0.5654,0.1648,0.167,Not confident,"mRNA transport, Protein transport, Translocation, Transport",none
Q9UM47,NOTCH3,Neurogenic locus notch homolog protein 3,"Cell membrane, Membrane, Nucleus",0.565,0.2485,0.145,Not confident,"Activator, Developmental protein, Differentiation, Notch signaling pathway, Receptor, Transcription, Transcription regulation",none
O15297,PPM1D,Protein phosphatase 1D,"Cytoplasm, Nucleus",0.562,0.3147,0.175,Not confident,"Cell cycle, Hydrolase, Protein phosphatase",none
Q9NVA1,UQCC1,Ubiquinol-cytochrome c reductase complex assembly factor 1,"Cytoplasmic vesicle, Membrane, Mitochondrion, Mitochondrion inner membrane",0.56,0.967,0.193,medium,NA,['P00533_S2__Q9NVA1_S0.pdb']
Q06190,PPP2R3A,Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha,NA,0.559,0.174,0.113,Not confident,NA,none
P54368,OAZ1,Ornithine decarboxylase antizyme 1,NA,0.5566,0.1443,0.107,Not confident,"Polyamine biosynthesis, Transport",none
Q9ULM0,PLEKHH1,Pleckstrin homology domain-containing family H member 1,NA,0.555,0.326,0.131,Not confident,NA,none
P30260,CDC27,Cell division cycle protein 27 homolog,"Cytoplasm, Cytoskeleton, Nucleus",0.555,0.153,0.219,Not confident,Ubl conjugation pathway,none
Q9BSG1,ZNF2,Zinc finger protein 2,Nucleus,0.552,0.1056,0.219,Not confident,"DNA-binding, Transcription, Transcription regulation",none
P23368,ME2,"NAD-dependent malic enzyme, mitochondrial",Mitochondrion,0.5474,0.2844,0.178,Not confident,"Allosteric enzyme, Oxidoreductase",none
P29323,EPHB2,Ephrin type-B receptor 2,"Cell membrane, Cell projection, Membrane",0.5454,0.272,0.288,Not confident,"Developmental protein, Kinase, Neurogenesis, Receptor, Transferase, Tyrosine-protein kinase",none
Q07890,SOS2,Son of sevenless homolog 2,NA,0.544,0.2048,0.15,medium,Guanine-nucleotide releasing factor,"['P00533_S1__Q07890_S1.pdb', 'P00533_S2__Q07890_S1.pdb', 'P00533_S2__Q07890_S2.pdb']"
Q9NZ71,RTEL1,Regulator of telomere elongation helicase 1,Nucleus,0.5435,0.3037,0.214,Not confident,"DNA damage, DNA repair, DNA-binding, Helicase, Hydrolase",none
Q02809,PLOD1,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1","Endoplasmic reticulum, Membrane",0.5425,0.3076,0.15,Not confident,"Dioxygenase, Oxidoreductase",none
Q7Z3E1,TIPARP,Protein mono-ADP-ribosyltransferase TIPARP,Nucleus,0.5415,0.1377,0.081,Not confident,"Glycosyltransferase, Nucleotidyltransferase, Transferase",none
P56705,WNT4,Protein Wnt-4,"Extracellular matrix, Secreted",0.5376,0.4353,0.113,Not confident,"Developmental protein, Wnt signaling pathway",none
O75832,PSMD10,26S proteasome non-ATPase regulatory subunit 10,"Cytoplasm, Nucleus",0.5337,0.4805,0.218,Not confident,"Apoptosis, Chaperone",none
B5ME19,EIF3CL,Eukaryotic translation initiation factor 3 subunit C-like protein,Cytoplasm,0.5327,0.1938,0.158,Not confident,"Initiation factor, Protein biosynthesis",none
Q16181,SEPTIN7,Septin-7,"Cell projection, Centromere, Chromosome, Cilium, Cytoplasm, Cytoskeleton, Flagellum, Kinetochore",0.5312,0.1575,0.146,Not confident,"Cell cycle, Cell division, Differentiation, Mitosis, Spermatogenesis",none
Q32NB8,PGS1,"CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase, mitochondrial",Mitochondrion,0.5293,0.2646,0.215,Not confident,"Lipid biosynthesis, Lipid metabolism, Phospholipid biosynthesis, Phospholipid metabolism, Transferase",none
O00469,PLOD2,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2","Endoplasmic reticulum, Membrane",0.5293,0.2483,0.143,Not confident,"Dioxygenase, Oxidoreductase",none
Q9H5Z1,DHX35,Probable ATP-dependent RNA helicase DHX35,Spliceosome,0.529,0.1549,0.174,Not confident,"Helicase, Hydrolase, mRNA processing, mRNA splicing",none
Q13873,BMPR2,Bone morphogenetic protein receptor type-2,"Cell membrane, Membrane",0.5283,0.2876,0.184,Not confident,"Kinase, Receptor, Serine/threonine-protein kinase, Transferase",none
Q9Y2L1,DIS3,Exosome complex exonuclease RRP44,"Cytoplasm, Exosome, Nucleus",0.528,0.1523,0.16,Not confident,"Endonuclease, Exonuclease, Hydrolase, Nuclease, RNA-binding, rRNA processing",none
Q86SK9,SCD5,Stearoyl-CoA desaturase 5,"Endoplasmic reticulum, Membrane",0.5264,0.3188,0.194,Not confident,"Fatty acid biosynthesis, Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism, Oxidoreductase",none
Q92636,NSMAF,Protein FAN,NA,0.5234,0.4385,0.169,Not confident,NA,none
Q9UKW4,VAV3,Guanine nucleotide exchange factor VAV3,NA,0.523,0.254,0.125,Not confident,"Angiogenesis, Guanine-nucleotide releasing factor",none
O75439,PMPCB,Mitochondrial-processing peptidase subunit beta,Mitochondrion,0.5225,0.1758,0.141,Not confident,"Hydrolase, Metalloprotease, Protease",none
P35222,CTNNB1,Catenin beta-1,"Cell junction, Cell membrane, Cell projection, Cytoplasm, Cytoskeleton, Membrane, Nucleus, Synapse",0.5205,0.1888,0.083,medium,"Activator, Cell adhesion, Host-virus interaction, Neurogenesis, Transcription, Transcription regulation, Wnt signaling pathway",['P00533_S2__P35222_S0.pdb']
P53611,RABGGTB,Geranylgeranyl transferase type-2 subunit beta,NA,0.518,0.1769,0.21,Not confident,"Prenyltransferase, Transferase",none
Q9UPN7,PPP6R1,Serine/threonine-protein phosphatase 6 regulatory subunit 1,Cytoplasm,0.5166,0.1539,0.157,Not confident,NA,none
P31930,UQCRC1,"Cytochrome b-c1 complex subunit 1, mitochondrial","Membrane, Mitochondrion, Mitochondrion inner membrane",0.5156,0.2168,0.138,Not confident,"Electron transport, Respiratory chain, Transport",none
Q8NC26,ZNF114,Zinc finger protein 114,Nucleus,0.513,0.109,0.19,Not confident,"DNA-binding, Transcription, Transcription regulation",none
Q96AC1,FERMT2,Fermitin family homolog 2,"Cell junction, Cell membrane, Cell projection, Cytoplasm, Cytoskeleton, Membrane, Nucleus",0.5117,0.1664,0.117,Not confident,"Cell adhesion, Cell shape, Wnt signaling pathway",none
Q8TCG5,CPT1C,Palmitoyl thioesterase CPT1C,"Cell projection, Endoplasmic reticulum, Membrane",0.5103,0.32,0.143,Not confident,"Acyltransferase, Fatty acid metabolism, Hydrolase, Lipid metabolism, Transferase",none
O43172,PRPF4,U4/U6 small nuclear ribonucleoprotein Prp4,"Nucleus, Spliceosome",0.508,0.294,0.182,Not confident,"mRNA processing, mRNA splicing",none
P0DTE7,AMY1B,Alpha-amylase 1B,Secreted,0.5073,0.4087,0.14,Not confident,"Carbohydrate metabolism, Glycosidase, Hydrolase",none
Q9UQB3,CTNND2,Catenin delta-2,"Cell junction, Cell projection, Nucleus",0.5063,0.1466,0.091,Not confident,"Cell adhesion, Developmental protein, Transcription, Transcription regulation, Wnt signaling pathway",none
O95980,RECK,Reversion-inducing cysteine-rich protein with Kazal motifs,"Cell membrane, Membrane",0.5044,0.3816,0.121,Not confident,"Protease inhibitor, Serine protease inhibitor, Wnt signaling pathway",none
Q13797,ITGA9,Integrin alpha-9,Membrane,0.501,0.2874,0.125,Not confident,"Cell adhesion, Integrin, Receptor",none
Q8TF42,UBASH3B,Ubiquitin-associated and SH3 domain-containing protein B,"Cytoplasm, Nucleus",0.4995,0.192,0.117,Not confident,"Hydrolase, Protein phosphatase",none
P17301,ITGA2,Integrin alpha-2,Membrane,0.4983,0.4812,0.119,Not confident,"Cell adhesion, Host cell receptor for virus entry, Host-virus interaction, Integrin, Receptor",none
Q15437,SEC23B,Protein transport protein Sec23B,"Cytoplasm, Cytoplasmic vesicle, Endoplasmic reticulum, Membrane",0.4983,0.1487,0.123,Not confident,"ER-Golgi transport, Protein transport, Transport",none
Q9H6L4,ARMC7,Armadillo repeat-containing protein 7,Spliceosome,0.4976,0.11224,0.138,Not confident,"mRNA processing, mRNA splicing",none
P29401,TKT,Transketolase,NA,0.497,0.1685,0.16,Not confident,Transferase,none
Q9UBL3,ASH2L,Set1/Ash2 histone methyltransferase complex subunit ASH2,Nucleus,0.4956,0.2245,0.146,Not confident,"Chromatin regulator, DNA-binding, Transcription, Transcription regulation",none
P15498,VAV1,Proto-oncogene vav,NA,0.495,0.2444,0.13,Not confident,Guanine-nucleotide releasing factor,none
Q9NYH9,UTP6,U3 small nucleolar RNA-associated protein 6 homolog,Nucleus,0.492,0.1558,0.173,Not confident,rRNA processing,none
P11413,G6PD,Glucose-6-phosphate 1-dehydrogenase,"Cytoplasm, Membrane",0.4917,0.1998,0.168,Not confident,"Carbohydrate metabolism, Glucose metabolism, Oxidoreductase",none
Q8IXH7,NELFCD,Negative elongation factor C/D,Nucleus,0.4897,0.2345,0.093,Not confident,"Repressor, RNA-binding, Transcription, Transcription regulation",none
Q8IUR7,ARMC8,Armadillo repeat-containing protein 8,"Cytoplasm, Nucleus",0.4885,0.1835,0.153,Not confident,NA,none
P48553,TRAPPC10,Trafficking protein particle complex subunit 10,Golgi apparatus,0.486,0.2325,0.158,Not confident,"ER-Golgi transport, Transport",none
Q0P6D2,DIPK1C,Divergent protein kinase domain 1C,"Endoplasmic reticulum, Membrane",0.4856,0.3137,0.129,Not confident,NA,none
P13497,BMP1,Bone morphogenetic protein 1,"Extracellular matrix, Golgi apparatus, Secreted",0.4836,0.307,0.146,Not confident,"Chondrogenesis, Cytokine, Developmental protein, Differentiation, Growth factor, Hydrolase, Metalloprotease, Osteogenesis, Protease",none
P08243,ASNS,Asparagine synthetase [glutamine-hydrolyzing],NA,0.4836,0.1415,0.159,Not confident,"Amino-acid biosynthesis, Asparagine biosynthesis, Ligase",none
P31040,SDHA,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial","Membrane, Mitochondrion, Mitochondrion inner membrane",0.4817,0.1425,0.126,Not confident,"Electron transport, Oxidoreductase, Transport, Tricarboxylic acid cycle",none
